"","GSM3618686","GSM3618687","GSM3618688","GSM3618689","GSM3618690","GSM3618691","GSM3618692","GSM3618693"
"100039167_at",-0.466595989930821,-0.511668752529374,-0.374043414860518,-0.434121676127484,-0.312841183059953,-0.268097330240649,-0.416788348368309,-0.214012573872675
"100039182_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039211_at",NA,-5.72409890173476,NA,NA,NA,NA,NA,NA
"100039220_at",NA,NA,NA,-2.72227028423108,-2.37201534290304,-4.64395736231187,-2.66295577373297,NA
"100039229_at",0.000298693512494081,0.105878012723409,0.0693661630767358,-0.0447394842234464,0.0474264307257654,0.0545952307141024,-0.0153502673240263,-0.263782567922961
"100039258_at",-1.29772076799241,-1.21908108864621,-1.26838170720589,-1.01909955910558,-0.985595030602817,-1.3088899479182,-1.30674672773003,-1.41960719998018
"100039281_at",0.610982542888626,0.64887624843482,0.63571912826945,0.712435662564894,0.748840279665885,0.584524634043176,0.512603321882999,0.736069627738391
"100039292_at",-3.55682230006374,-3.38084573888872,-3.20262493827975,-3.76307280354998,-3.64829764761625,-3.45410665298742,-3.31366591037228,-2.29976275989373
"100039303_at",-0.916835337276823,-0.868670832684265,-0.922191455136313,-1.05078460562628,-0.645582945238815,-0.874531805579839,-1.18365562618552,-0.788659913898728
"100039316_at",1.29058323608166,1.34398947585513,1.29221727830204,1.27667308409939,1.27339130290645,1.28903284341304,1.30941112154106,1.23952709253461
"100039350_at",-3.72076915018846,-4.38237697549572,-4.79287651102541,NA,-4.08223668016528,-6.17385313599634,-4.00215623518763,-4.0233211777154
"100039384_at",-0.367686786147773,-0.226621263662516,-0.176410962176557,-0.0370675313793403,-0.313482175371113,-0.190391675518062,-0.808039808945331,-0.0831866870231131
"100039474_at",-2.33753225908905,-1.9337621315884,-3.53151981213666,-1.7072382578524,-1.88342746227327,-1.27349368134659,-1.92759313481916,-2.71111655178499
"100039478_at",-1.80474210103792,-1.58128266568431,-1.69496675271615,-1.70536111876943,-1.39995268990974,-1.47648632259582,-1.92150819242231,-1.72634029076702
"100039489_at",-1.85407326863814,-1.25839889784121,-1.60668616146676,-2.00670878488123,-1.4726592000392,-1.95760207353587,-1.8667391326592,-2.16466891524366
"100039525_at",-3.43513310621732,-3.14179175750851,-2.59100881243508,-2.95958949525545,-2.71593529953922,-2.4124089043789,-2.85144969364173,-2.91445949767521
"100039532_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039545_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039596_at",-5.2400767696252,-4.9064644431586,-5.81613063856838,-5.22422852805607,-7.48562956661372,NA,NA,-5.52955153857558
"100039624_at",0.390719813118366,0.313090099661135,0.45671969425659,0.485300027252961,0.407229463297852,0.426632176161147,0.326539416691646,0.380119768853632
"100039641_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039672_at",-1.7575103118994,-1.83702547343954,-1.57622986250921,-1.43371002120031,-1.62088624604384,-1.42634061982365,-1.75717098266779,-1.58564908249895
"100039691_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039716_at",NA,-4.79553627591721,NA,-5.4151266952143,NA,NA,NA,NA
"100039724_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039725_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039739_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039740_at",1.29494452727813,1.36273372534092,1.34638193706458,1.35486597077001,1.292365574737,1.38420540881735,1.32452652867026,1.2154188986881
"100039751_at",-0.971388733037998,-0.769209955027813,-0.933111872492633,-0.975686880329695,-0.804946401221599,-1.08754930437469,-1.22986658140502,-0.808269773958945
"100039781_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039795_at",-0.259620045176921,-0.369982378565408,-0.782217764678968,-0.159190523810604,-0.573442608923677,-0.459806681535263,-0.680907880606989,-0.201613871469921
"100039801_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039820_at",-1.15950215395008,-1.15796187312947,-1.2306960811705,-1.48035231709484,-1.01412102995125,-1.45597315602024,-1.29447970486731,-0.826909699600399
