"","GSM4308223","GSM4308224","GSM4308225","GSM4308226","GSM4308227","GSM4308228","GSM4308229","GSM4308230","GSM4308231","GSM4308232","GSM4308233","GSM4308234","GSM4308235","GSM4308236","GSM4308237","GSM4308238","GSM4308239","GSM4308240","GSM4308241","GSM4308242","GSM4308243","GSM4308244","GSM4308245","GSM4308246","GSM4308247","GSM4308248","GSM4308249","GSM4308250","GSM4308251","GSM4308252","GSM4308253","GSM4308254","GSM4308255","GSM4308256"
"hsa-miR-587",8.6430235144862,8.74381922247341,7.01297420688207,7.02807844635959,12.8311872781675,6.8321115081452,6.93673450800997,7.0903972245531,6.876516946565,7.00070426901125,7.10531664656713,7.01883999807191,11.5438476985035,8.10644882889577,7.05462493743215,8.35343136572443,8.79369368824478,7.04304806919327,6.96913091502031,6.94765914432738,6.8538297676193,8.03531488478709,8.33654047892369,8.42514581284864,8.57200551952472,8.55963788021291,8.71553306352658,8.39847650144926,8.69978931838214,8.31401670390136,8.78512547472086,8.74478036599313,8.65424433556507,8.69016423855471
"hsa-miR-588",8.59385009759567,8.83411420351121,6.92517224195911,7.00645287862257,7.75735133695352,6.78317505513485,6.92925840863697,6.99197867441002,6.8732078480123,6.9163201847534,6.86994664737356,6.94146318354574,6.90782924421219,8.01311996995515,6.9565945416604,8.38274419212356,8.73110685438803,6.96938652134228,6.90726684949737,6.84754474116443,6.87914578020995,6.83857365266832,8.30735839247869,8.37664288636539,8.49838372021836,8.44145277019577,8.70724971780568,8.39887748234113,8.63736064221741,8.24340441536627,8.73855303756006,8.7249926256395,8.59346507652552,8.63443644524424
"hsa-miR-589",8.64976130183757,8.61131773428188,6.98983611124217,7.03411114609659,7.94070883410123,6.82947158916759,7.00092393059564,6.97423560420907,6.88015776278457,6.95593231686035,6.97463484929139,7.70084195202634,7.53496658350552,8.2484385356113,6.94363069594144,8.28159347473925,8.71302626879535,6.92639444460867,6.90378425721786,6.98920146526312,6.91526274136588,6.66255160238381,8.41616416473313,8.43645129228697,8.47635657304817,8.52567153055433,8.70328969201685,8.31673407097229,8.6729779156333,8.29591262290449,8.6738878044116,8.72541943126336,8.61771796372842,8.72489272397973
"hsa-miR-590",8.58201172855551,8.8001644555859,6.97144583822851,7.01680828768655,12.2574240864143,6.92014678394538,6.98703429967859,7.04648232926081,6.83790288622057,6.95616354917994,7.00802853387746,7.00363708939688,7.05856543859186,8.08754452093674,10.1070130172566,8.36597505130894,8.67391641684818,6.9338263622133,6.99463176528769,6.8616688307455,6.90364328436973,7.38051820896712,8.30766940965073,8.41974028172944,8.52845411076479,8.57178373409977,8.78354406991626,8.14306938412021,8.67196912361878,8.23017082371978,8.71200588536107,8.74054748096766,8.61281100944673,8.61272219359423
"hsa-miR-591",8.62234691927409,8.64624115629991,6.99552069886374,6.9562262892461,7.99629721918791,6.89197321534021,7.04808902220672,7.0599241265803,6.82986477806655,6.97082490136262,7.03324788517597,7.919937704484,7.56140709864334,8.29075014942156,6.98500965747489,8.28393334418627,8.77223967391582,6.99929538702341,6.92033022472714,6.97181712276836,6.91905518640684,7.5600943398766,8.41428904800478,8.46495083244837,8.41414864372057,8.48393989205733,8.71778504945853,8.30288106605383,8.76716580647059,8.37924102289788,8.67275698226929,8.7650248067629,8.69961374691395,8.66424637771973
"hsa-miR-592",8.5465021014973,8.73264434370514,6.92791896604149,6.9592775057205,12.2130628950135,6.83099048124926,6.93803873390916,7.00147687911681,6.79462250786713,7.09072325183012,7.79158293498525,6.96347412397489,7.49382503426749,8.10387997875525,8.49143866273392,8.3458700279232,8.62844554013718,6.89720411567893,6.87849852335996,6.90822567283303,6.85759290771627,7.98023156437054,8.26102629149743,8.37109618512757,8.50890912751338,8.46009256582132,8.67049019686956,7.50312448934464,8.67698771544576,8.24438286477296,8.66861237067665,8.69396220192852,8.55164828424437,8.52567153055433
"hsa-miR-593",8.53886054573883,8.80781502975491,6.95031326476618,6.96758710365353,7.75428024021343,6.8216196611427,6.93018262111738,7.09598769470923,6.75926104867499,6.95458369180018,7.08521111716483,6.92471157079247,6.9506667011027,8.06676193238691,7.13442632022093,8.29476225471362,8.62871017703912,6.90360834025131,6.88827444903361,6.83940033403244,6.88493364794976,8.46096776257042,8.21961529943696,8.35409683836246,8.47699928613306,8.41765465805179,8.63954511365663,8.35734570207135,8.62182660963303,8.23051910636584,8.6631908907099,8.65645310907518,8.54254052409098,8.48853067427352
"hsa-miR-595",8.75899200296034,8.5979925572643,7.03714607338824,6.9344280406268,7.97392921194034,6.89793739842005,7.00316706898225,6.96597355383567,6.86027504529854,6.96379892499545,6.96075726616385,7.82634700435534,7.50701442271417,8.19951923438112,6.94052855370531,8.30300806027789,8.72763699158319,6.95346896222885,6.95342007128105,8.25876905684902,6.88151412682927,6.7837787888546,8.44883571792342,8.47834979176628,8.53994626112021,8.48046386675374,8.78051319342431,8.26332319771192,8.70813825309856,8.31112569919539,8.74457116910746,8.76097969234161,8.67874202500841,8.65766215417918
"hsa-miR-596",8.57331317060797,8.91170116785405,6.91424040688624,6.96779803501913,7.87502805395762,6.89481776330794,6.94344550557918,6.94673904661618,6.80716555590606,6.88402273071368,6.92528382572832,6.9828099472762,7.0139780538991,8.07472698709929,7.18311527245986,8.37048297420457,8.65843822516816,6.99197867441002,6.97251575220648,6.87949012998502,6.98009615329332,8.09310376885297,8.31805874216272,8.36833839193288,8.49785183695112,8.46147944728616,8.69394826736968,8.41887258671994,8.66416956346837,8.27762728275813,8.68655515246614,8.70195617826814,8.59190564300267,8.57576839592089
"hsa-miR-597",8.61759455644574,8.62593709953846,6.95454879683677,7.03152863410201,7.85382914397596,6.84098935653458,6.95330132922375,6.95705791822233,6.87528859822269,7.06504662817382,7.04509890044026,7.59979980185858,7.5061615684109,8.21978322931771,6.92319197566938,8.33484041781993,8.68776303310922,6.86717864347647,6.90631821304558,7.12541347048331,6.85203755157418,7.94614014178573,8.39121093237187,8.47907450444374,8.54914777819624,8.51588745527519,8.72914282477261,8.3231065657908,8.67468873821399,8.25477448200085,8.71018549360953,8.68999797141945,8.65872169232857,8.66573064992567
